"hex","name","ref"
"#fdf4a6","jasmin Yellow","001"
"#ffe655","zinc Yellow","002"
"#ffd900","cadmium Yellow","003"
"#ffcc00","signal Yellow","004"
"#faf4e3","nature White","005"
"#fff0b9","vanilla","006"
"#ffe26e","cashmere Yellow","007"
"#ffd059","quince","008"
"#fbbc00","golden Yellow","009"
"#f7ad00","melon Yellow","010"
"#f18d00","light Orange","011"
"#ed7920","pastel Orange","012"
"#ed6916","DARE Orange Light","013"
"#e15c0f","DARE Orange","014"
"#df4f1a","LINDA Sunset","015"
"#d4021e","SWEET Traffic Red","016"
"#c2002d","tornado Red","017"
"#990c26","ruby Red","018"
"#71181f","burgundy","019"
"#4d171c","garnet","020"
"#3e1715","black Red","021"
"#3a2119","LOOMIT Aubergine","022"
"#facdb0","peach Pastel","023"
"#f8c1a0","peach Light","024"
"#f6b288","peach","025"
"#f08d4a","goldfish","026"
"#ed7729","lobster Light","027"
"#e95f24","lobster Mrefdle","028"
"#e7502a","lobster","029"
"#be362a","vermillion","030"
"#db4430","shock Orange","031"
"#d80028","MADC Cherry Red","032"
"#c00417","signalRed","033"
"#f39a5a","apricot","034"
"#db633a","salmon Orange","035"
"#a53513","autumn Leaf","036"
"#f4beae","LOOMIT Apricot Pastel","037"
"#f3a28b","LOOMIT Apricot Light","038"
"#ee826f","LOOMIT Apricot Mrefdle","039"
"#eb6a4a","LOOMIT Apricot","040"
"#d45646","strawberry Red","041"
"#be4538","pussy Pink","042"
"#bb2037","raspberry Red","043"
"#9c052d","sangria","044"
"#f8cac2","grapefruit Light","045"
"#f5b2a7","grapefruit","046"
"#e2a09a","mauve Light","047"
"#cf908c","mauve","048"
"#a9736a","antique Pink Mrefdle","049"
"#996a63","antique Pink","050"
"#f7c6cd","piglet  Pink Light","051"
"#f0a2b9","piglet Pink","052"
"#dc7f9f","candy Pink","053"
"#b74d74","lipstick","054"
"#74324a","purple","055"
"#6c3640","ESHER Dirty Red","056"
"#de95bc","TILT Bubble Pink","057"
"#d36aa2","fuchsia Pink","058"
"#d94476","MADC Psycho Pink","059"
"#b71d5a","telemagenta","060"
"#910041","amaranth Red","061"
"#68184b","MACrew Purple","062"
"#3e1f30","purple Violet","063"
"#d7c7db","crocus","064"
"#bca0c0","lavender","065"
"#a77ea9","lilac","066"
"#856195","grape","067"
"#673c7c","blackberry","068"
"#4c2561","currant","069"
"#251241","Crazy Prune","070"
"#33265e","dark Purple","071"
"#21194b","black Violet","072"
"#d9dad6","thistle","073"
"#c7c4cf","viola Pastel","074"
"#a3a0c3","viola Light","075"
"#7b7cab","viola Mrefdle","076"
"#6167a2","viola","077"
"#464e96","viola Dark","078"
"#243b81","night SEEN Blue","079"
"#505c8e","grape Mrefdle","080"
"#3a4187","grape Dark","081"
"#232a60","purple Velvet","082"
"#7d83b4","light Violet","083"
"#595c79","plum Mrefdle","084"
"#383959","plum","085"
"#a6b3cc","pigeon Blue Mrefdle","086"
"#8d9fc0","pigeon Blue","087"
"#6581b1","blueberry Light","088"
"#d1e6ee","azure Blue Light","089"
"#b9dcec","azure Blue","090"
"#a1cee4","shock Blue Pastel","091"
"#88bcd8","shock Blue Light","092"
"#59a8cd","shock Blue Mrefdle","093"
"#1788bc","shock Blue","094"
"#3683bd","tulip Blue Light","095"
"#0067a3","tulip Blue Mrefdle","096"
"#004a83","tulip Blue","097"
"#3395b9","light Blue","098"
"#77a4c7","ceramic Blue Pastel","099"
"#5088ae","jeans Blue","100"
"#315484","wild WANE Blue","101"
"#1f3d79","navy Blue","102"
"#002c5c","navy ultra Blue","103"
"#002e59","sapphire Blue","104"
"#002743","indigo","105"
"#00243b","Prussian Blue dark","106"
"#acd0de","deep sea Blue Mrefdle","106-1"
"#6bb8d6","deep sea Blue","106-2"
"#7c9bab","deep sea Blue dark","106-3"
"#0f3d50","petrol","107"
"#1b394a","seabed Blue","108"
"#00233c","seabed Blue dark","109"
"#97ccd8","ice Blue Dark","110"
"#468f9c","dolphin Blue","111"
"#006a7d","petrol Blue","112"
"#6bb8c4","cream Blue","113"
"#489aa1","olympia Blue","114"
"#217f8b","aqua","115"
"#005362","alga","116"
"#b6dcd2","baby Blue","117"
"#88cac1","crystal Blue Dark","118"
"#54a79c","blue Gin","119"
"#508389","verdigris","120"
"#d0e8dd","caribbean","121"
"#a8d5c4","riviera Pastel","122"
"#80c2ae","riviera Light","123"
"#44b39b","riviera Mrefdle","124"
"#00998a","riviera Dark","125"
"#00857c","lagoon Blue","126"
"#00605b","martha Blue","127"
"#00454d","turquoise Dark","128"
"#003c43","nori","129"
"#00333d","black turquoise","130"
"#aab98f","gale Green","131"
"#8fb18d","reed green","132"
"#77a479","aquamarine","133"
"#4d7057","swamp","134"
"#3d5b46","black Forest Green","135"
"#d3e3d7","blueberry Pastel","136"
"#c2deba","calypso Light","137"
"#74bd8b","calypso Mrefdle","138"
"#53a977","calypso Dark","139"
"#00794d","turquoise Green","140"
"#005a3c","turquoise Green Mrefdle","141"
"#004932","turquoise Green Dark","142"
"#004230","SEAK Furure green","143"
"#b8d69d","menthol Light","144"
"#6bb66c","menthol","145"
"#009952","KACAO 77 green","146"
"#00873f","lettuce Green","147"
"#dfe38c","kiwi Pastel","148"
"#bbce3c","kiwi Light","149"
"#96b922","kiwi","150"
"#c8d97d","dandelion","151"
"#b2cc54","brilliant green","152"
"#88bb3c","grasshopper","153"
"#a6c85c","cream green","154"
"#89c25a","hippie green","155"
"#7fb94f","wasabi","156"
"#57ab27","cliff Green","157"
"#2da43f","clover Green","158"
"#008834","juice green","159"
"#00763b","Mister Green","160"
"#157727","leaf Green mrefdle","160-1"
"#1f5a2e","leaf Green","161"
"#94bf3d","Mighty Green","162"
"#6a9619","avocado","163"
"#567513","fern Green","164"
"#325815","moss Green","165"
"#2c4025","chromium Oxrefe Green","166"
"#002c1c","black Green","167"
"#dae07f","butterfly Green","168"
"#bac579","green Tea","169"
"#949955","P.JAY Green","170"
"#908f5e","amazonas","171"
"#5e5d33","camouflage","172"
"#414423","evil Olive","173"
"#dede2e","poison Green","174"
"#ccc545","apple","175"
"#efe397","sorbet Green","176"
"#e5e18c","soft Pastel","177"
"#c1c13b","carambola","178"
"#b4a338","hemp","179"
"#98961e","green Bean","180"
"#828423","pear","181"
"#606e24","green natural light","181-1"
"#5e5e20","green natural Medium","181-2"
"#d3ba58","mustard","182"
"#d79a00","yellow mustard","182-1"
"#a37622","khaki green","182-1"
"#ac8c34","khaki","183"
"#fdeac5","ivory Light","184"
"#faf2df","sand Light","184-1"
"#f1dbcb","sand medium","184-2"
"#d9b092","sand","184-3"
"#d5a78b","sand quartz","184-4"
"#ebcebe","sand quartz medium","184-5"
"#e9cfc6","sand quartz light","184-6"
"#e4d7d0","white fur","184-7"
"#d5b172","milk Coffee","185"
"#a47a4e","Cappuccino","186"
"#86653d","Espresso","187"
"#533e27","Mocca","188"
"#f6deb2","sahara Beige Light","189"
"#f1cb83","sahara Beige Medium","190"
"#ecd898","sahara Beige","191"
"#c2964a","papyrus","192"
"#b87b3f","nougat","193"
"#834e2d","beige brown","194"
"#facf9b","apricot Beige","195"
"#edbf8b","labrador","196"
"#dc9b55","camel","197"
"#ac6f2e","ocher Brown","198"
"#f49e4e","orange Brown Light","199"
"#d7722e","orange Brown Medium","200"
"#b4591d","orange Brown","201"
"#9f5348","cocoa Light","202"
"#9c6169","cocoa Medium","203"
"#783a2f","cocoa","204"
"#d7a795","caramel Light","204-1"
"#a76745","caramel","205"
"#75462a","walnut","206"
"#5e3121","hazelnut","207"
"#4b301e","chocolate Brown","208"
"#3f271b","CMP dark brown","209"
"#3c3b36","black tar","210"
"#5d5947","stone grey dark","211"
"#848169","stone grey medium","212"
"#c4c1ab","stone grey light","213"
"#061722","TOAST Signal black","214"
"#41403e","black grey neutral","215"
"#5f5f5f","dark grey neutral","216"
"#989898","middle grey neutral","216"
"#d8d7cc","light grey neutral","218"
"#707574","mouse grey","219"
"#F0E68C","Gold dollar","220-1"
"#C0C0C0","silver dollar","220"
"#000000","black grey dark","221"
"#5d5d5b","black grey light","221-1"
"#505050","black grey medium","221-2"
"#303330","black grey dark","222"
"#2c3134","anthracite grey dark","222-1"
"#3c4144","anthracite grey","223"
"#4e5254","anthracite grey medium","223-1"
"#6e7172","grey blue dark","224"
"#848788","granite","225"
"#9c9e9e","grey blue medium","226"
"#adaeac","rock grey","227"
"#bdbcbb","grey blue light","228"
"#cdcbca","pebble grey","229"
"#dad8d8","Marble grey","230"
"#ffffff","signal white","231"
"#f3f315","Jaune Néon","232"
"#ff6600","Orange Néon","233"
"#ff0099","Rose Néon","234"
"#c24673","Violet Néon","234-1"
"#01b0f0","Bleu Néon","235"
"#35c096","Turquoise  Néon","235-1"
"#83f52c","Vert Néon","236"
"#ff0000","ANTISTATIK Rouge Néon","236-1"
